smiles_harmonized,BileAcid_delta_count,has_primaryAmine,has_secondaryAmine,has_carboxylicAcid,has_alcohol,has_phenol,has_alkene,has_thiol,has_ester,has_phosphate,has_ketone,has_aldehyde,data_source_is,synonyms,mf,monomass,inchikey,csv_file_name,dbid_Broad,dbid_chembl,dbid_FoodDB,dbid_CyanoMetDB,dbid_drugbank,dbid_drugCentral,dbid_HMDB,dbid_PolyphenolDBc,dbid_PolyphenolDBm,dbid_PubChem,dbid_PubChemLite,dbid_NORMAN,dbid_T3DB,delta_mass_for_BAs,commercially_available
CCCC(=O)OCc1ccccc1,6.0,0,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Phenylmethyl butanoate, Benzyl butyrate",C11H14O2,178.0993797,"InChI=1S/C11H14O2/c1-2-6-11(12)13-9-10-7-4-3-5-8-10/h3-5,7-8H,2,6,9H2,1H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011406,,,,HMDB0033376,,,7650,7650,NS00012001,,160.0888197,True
CC(C)CCOC(=O)c1ccccc1,,0,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","3-Methylbutyl benzoate, Isopentyl benzoate",C12H16O2,192.1150298,"InChI=1S/C12H16O2/c1-10(2)8-9-14-12(13)11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011410,,,,HMDB0033380,,,7193,7193,NS00012652,,174.1044698,True
CC(=O)OCCCc1ccccc1,6.0,0,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN",3-Phenylpropyl acetate,C11H14O2,178.0993797,"InChI=1S/C11H14O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-4,6-7H,5,8-9H2,1H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011417,,,,HMDB0033386,,,31226,31226,NS00012627,,160.0888197,True
C=Cc1cnccn1,,0,0,0,0,0,1,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Vinylpyrazine, 2-Vinylpyrazine",C6H6N2,106.0530982,"InChI=1S/C6H6N2/c1-2-6-5-7-3-4-8-6/h2-5H,1H2","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011429,,,,HMDB0303343,,,77840,77840,NS00022165,,88.0425382,True
CCCCCCCC(=O)[O-],,0,0,0,0,0,0,0,0,0,0,0,"FoodDB, PubChem, PubChem Lite","Sodium octanoate, Potassium octanoate, Hydron;octanoate, Octanoic acid, sodium salt (1:1), Lithium octanoate, Silver(I) octanoate, Mercury, (octanoato)phenyl-, Sodium octanoate-1-13C, 13864-38-5",C8H15NaO2,166.097,"InChI=1S/C8H16O2.Na/c1-2-3-4-5-6-7-8(9)10;/h2-7H2,1H3,(H,9,10);/q;+1/p-1","Compound_foodDB.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv",,,"FDB011449, FDB011450",,,,,,,"23664772, 135372298, 9793942, 23668522, 23673717, 15250566, 16683729, 23696284",16683729,,,148.08644,True
CCCCCCCCCCCCCCCCCC(=O)[O-],,0,0,0,0,0,0,0,0,0,0,0,"FoodDB, PubChem, PubChem Lite, T3DB","Sodium octadecanoate, Potassium octadecanoate, Aluminum monostearate, Silver(1+) stearate, Copper(1+) stearate, Lithium stearate, Sodium Stearate, Potassium stearate, Quinolinium, 8-hydroxy-1-methyl-, stearate, Aluminium monostearate",C18H39AlO4,346.266,"InChI=1S/C18H36O2.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2-17H2,1H3,(H,19,20);/q;+1/p-1","Compound_foodDB.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, toxins.csv",,,"FDB011514, FDB011515",,,,,,,"16682987, 160695, 167913, 517357, 2724691, 23673840, 16206243",16682988,,T3D1514,328.25544,True
C=CC(C)(CCC=C(C)CCC=C(C)CCC=C(C)COC1OC(CO)C(O)C(O)C1O)OC1OC(CO)C(OC2OC(C)C(O)C(O)C2O)C(O)C1O,,0,0,0,10,0,4,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite","Lyciumoside IV, 2-[4,5-dihydroxy-2-(hydroxymethyl)-6-[(6E,10Z,14E)-3,7,11,15-tetramethyl-16-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexadeca-1,6,10,14-tetraen-3-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol, ",C38H64O16,776.419436,"InChI=1S/C38H64O16/c1-7-38(6,54-37-33(48)30(45)34(25(18-40)52-37)53-36-32(47)28(43)26(41)23(5)50-36)16-10-15-21(3)12-8-11-20(2)13-9-14-22(4)19-49-35-31(46)29(44)27(42)24(17-39)51-35/h7,11,14-15,23-37,39-48H,1,8-10,12-13,16-19H2,2-6H3/b20-11-,21-15+,22-14+","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChemLite_31Oct2020_exposomics.csv",,,FDB011551,,,,HMDB0033499,,,131751438,131751438,,,758.408876,True
CC(=O)C1=NCCS1,787.0,0,0,0,0,0,0,0,0,0,1,0,"FoodDB, HMDB, PubChem, PubChem Lite","2-Acetyl-4,5-dihydrothiazole, 2-Acetyl-2-thiazoline",C5H7NOS,129.0248345,"InChI=1S/C5H7NOS/c1-4(7)5-6-2-3-8-5/h2-3H2,1H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv",,,FDB011630,,,,HMDB0033561,,,169110,169110,,,111.0142745,True
C1CCCCCCCCCCCCC1,,0,0,0,0,0,0,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN",Cyclotetradecane,C14H28,196.2191009,InChI=1S/C14H28/c1-2-4-6-8-10-12-14-13-11-9-7-5-3-1/h1-14H2,"Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011637,,,,HMDB0033567,,,67524,67524,NS00042146,,178.2085409,True
c1cc2cnccn2c1,,0,0,0,0,0,0,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite","7-Azaindolizine, Pyrrolo[1,2-a]pyrazine",C7H6N2,118.0530982,InChI=1S/C7H6N2/c1-2-7-6-8-3-5-9(7)4-1/h1-6H,"Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChemLite_31Oct2020_exposomics.csv",,,FDB011649,,,,HMDB0033576,,,11018843,11018843,,,100.0425382,True
CCOC(=O)c1ccccc1N,12299.0,1,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Ethyl anthranilate, Ethyl 2-aminobenzoate",C9H11NO2,165.0789786,"InChI=1S/C9H11NO2/c1-2-12-9(11)7-5-3-4-6-8(7)10/h3-6H,2,10H2,1H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011666,,,,HMDB0033589,,,6877,6877,NS00012372,,147.0684186,True
C=CCc1ccc2c(c1)OCO2,,0,0,0,0,0,1,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN, T3DB","Safrole, safrole",C10H10O2,162.0680796,"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,,FDB011672,,,,HMDB0033591,,,5144,5144,NS00017606,T3D4212,144.0575196,True
CCCCCC(=O)OCCC(C)C,,0,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","3-Methylbutyl hexanoate, Isopentyl hexanoate, Hexanoic acid, 3-methylbutyl ester",C11H22O2,186.1619799,"InChI=1S/C11H22O2/c1-4-5-6-7-11(12)13-9-8-10(2)3/h10H,4-9H2,1-3H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011706,,,,HMDB0033618,,,16617,16617,NS00012659,,168.1514199,True
CCCCCCOC(=O)CCCCC,,0,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Hexyl hexanoate, HEXYL HEXANOATE",C12H24O2,200.17763,"InChI=1S/C12H24O2/c1-3-5-7-9-11-14-12(13)10-8-6-4-2/h3-11H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011707,,,,HMDB0033619,,,22873,22873,NS00012609,,182.16707,True
CCCCCCOC(=O)CCC,237.0,0,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Hexyl butyrate, HEXYL BUTYRATE",C10H20O2,172.1463299,"InChI=1S/C10H20O2/c1-3-5-6-7-9-12-10(11)8-4-2/h3-9H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011708,,,,HMDB0033620,,,17525,17525,NS00012599,,154.1357699,True
CCCCCCCCCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN, T3DB","Pentadecane, n-Pentadecylmagnesium bromide",C15H32,212.250401,"InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,,FDB011800,,,,HMDB0059886,,,"12391, 4641098",12391,NS00003105,T3D4782,194.239841,True
CCCCCCCCCCCCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Octadecane, Octadecylmagnesium chloride, OCTADECANE",C18H38,254.2973512,"InChI=1S/C18H38/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3-18H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011840,,,,HMDB0033721,,,"11635, 4192511",11635,NS00010781,,236.2867912,True
CCOC(=O)c1ccccc1NC,,0,1,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Ethyl N-methylanthranilate, Ethyl 2-(methylamino)benzoate, Ethyl 2-(methylamino)benzoate hydrochloride",C10H13NO2,179.0946287,"InChI=1S/C10H13NO2/c1-3-13-10(12)8-6-4-5-7-9(8)11-2/h4-7,11H,3H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011905,,,,HMDB0033763,,,"101365, 69759632",101365,NS00022087,,161.0840687,True
COc1ccccc1C=O,,0,0,0,0,0,0,0,0,0,0,1,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","2-Methoxybenzaldehyde, 2-METHOXYBENZALDEHYDE",C8H8O2,136.0524295,"InChI=1S/C8H8O2/c1-10-8-5-3-2-4-7(8)6-9/h2-6H,1H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011913,,,,HMDB0033766,,,8658,8658,NS00011981,,118.0418695,True
CCC(C)(C)O,1260.0,0,0,0,1,0,0,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","2-Methyl-2-butanol, 2-METHYL-2-BUTANOL, Sodium 2-methylbutan-2-olate",C5H12O,88.08881501,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011925,,,,HMDB0033772,,,6405,6405,"NS00007184, NS00053969",,70.07825501,True
CCCCCCCCCCCC(=O)OCC,,0,0,0,0,0,0,0,1,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Ethyl dodecanoate, ETHYL LAURATE",C14H28O2,228.2089301,"InChI=1S/C14H28O2/c1-3-5-6-7-8-9-10-11-12-13-14(15)16-4-2/h3-13H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011947,,,,HMDB0033788,,,7800,7800,NS00012426,,210.1983701,True
CCCCCCCCCCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0,"FoodDB, HMDB, PubChem, PubChem Lite, NORMAN","Hexadecane, Hexadecane-1-d, Hexadecane-d34, Hexadecane-1,2-13C2, HEXADECANE",C16H34,226.2660511,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3","Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,,FDB011952,,,,HMDB0033792,,,"11006, 12302794, 12302799, 16213304",11006,NS00009955,,208.2554911,True
